[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /api/health               --> main.HealthHandler (4 handlers)
[GIN-debug] GET    /api/public/overview      --> main.PublicOverviewHandler (4 handlers)
[GIN-debug] POST   /api/register             --> main.RegisterHandler (4 handlers)
[GIN-debug] POST   /api/login                --> main.LoginHandler (4 handlers)
[GIN-debug] POST   /api/google-login         --> main.GoogleLoginHandler (4 handlers)
[GIN-debug] POST   /api/forgot-password      --> main.ForgotPasswordHandler (4 handlers)
[GIN-debug] GET    /api/dashboard            --> main.UserDashboardHandler (5 handlers)
[GIN-debug] GET    /api/assessment           --> main.AssessmentGetHandler (5 handlers)
[GIN-debug] POST   /api/assessment/submit    --> main.AssessmentSubmitHandler (5 handlers)
[GIN-debug] GET    /api/user/history         --> main.UserHistoryHandler (5 handlers)
[GIN-debug] GET    /api/user/profile         --> main.UserProfileGetHandler (5 handlers)
[GIN-debug] PUT    /api/user/profile         --> main.UserProfilePutHandler (5 handlers)
[GIN-debug] GET    /api/network/users        --> main.NetworkUsersHandler (5 handlers)
[GIN-debug] POST   /api/network/follow/:id   --> main.NetworkFollowHandler (5 handlers)
[GIN-debug] POST   /api/network/affinity/:id --> main.NetworkAffinityHandler (5 handlers)
[GIN-debug] GET    /api/network/conversations --> main.NetworkConversationsHandler (5 handlers)
[GIN-debug] GET    /api/network/messages/:userId --> main.NetworkMessagesHandler (5 handlers)
[GIN-debug] POST   /api/network/messages/:userId --> main.NetworkSendMessageHandler (5 handlers)
[GIN-debug] GET    /api/network/user/:username --> main.NetworkUserProfileHandler (5 handlers)
[GIN-debug] GET    /api/gosip                --> main.GosipGetHandler (5 handlers)
[GIN-debug] POST   /api/curhat/submit        --> main.CurhatSubmitHandler (5 handlers)
[GIN-debug] POST   /api/curhat/:id/reply     --> main.CurhatReplyHandler (5 handlers)
[GIN-debug] POST   /api/post/create          --> main.PostCreateHandler (5 handlers)
[GIN-debug] GET    /api/user/curhat          --> main.UserCurhatHandler (5 handlers)
[GIN-debug] GET    /api/feed                 --> main.FeedGetHandler (5 handlers)
[GIN-debug] POST   /api/post/:id/like        --> main.PostLikeHandler (5 handlers)
[GIN-debug] GET    /api/post/:id/comments    --> main.PostCommentsGetHandler (5 handlers)
[GIN-debug] POST   /api/post/:id/comment     --> main.PostCommentCreateHandler (5 handlers)
[GIN-debug] GET    /api/notifications/unread --> main.NotificationsUnreadHandler (5 handlers)
[GIN-debug] POST   /api/notifications/:id/read --> main.NotificationsReadHandler (5 handlers)
[GIN-debug] GET    /api/user/notifications   --> main.UserNotificationsHandler (5 handlers)
[GIN-debug] PATCH  /api/user/treatment/:id/status --> main.UserTreatmentStatusHandler (5 handlers)
[GIN-debug] GET    /api/user/treatment/:id/replies --> main.UserTreatmentRepliesHandler (5 handlers)
[GIN-debug] POST   /api/user/treatment/:id/replies --> main.UserTreatmentReplyCreateHandler (5 handlers)
[GIN-debug] GET    /api/terapi               --> main.UserDashboardHandler (5 handlers)
[GIN-debug] GET    /api/responden            --> main.RespondenGetHandler (5 handlers)
[GIN-debug] GET    /api/responden/:id/history --> main.RespondenHistoryHandler (5 handlers)
[GIN-debug] GET    /api/admin/users          --> main.AdminUsersGetHandler (5 handlers)
[GIN-debug] POST   /api/admin/users          --> main.AdminUsersCreateHandler (5 handlers)
[GIN-debug] GET    /api/admin/users/:id      --> main.AdminUsersGetByIDHandler (5 handlers)
[GIN-debug] PUT    /api/admin/users/:id      --> main.AdminUsersPutHandler (5 handlers)
[GIN-debug] DELETE /api/admin/users/:id      --> main.AdminUsersDeleteHandler (5 handlers)
[GIN-debug] POST   /api/admin/users/:id/treatment --> main.AdminUsersTreatmentHandler (5 handlers)
[GIN-debug] GET    /api/admin/users/:id/treatments --> main.AdminUserTreatmentsHandler (5 handlers)
[GIN-debug] GET    /api/admin/treatment-replies --> main.AdminTreatmentRepliesHandler (5 handlers)
[GIN-debug] PATCH  /api/admin/treatment-replies/:id/read --> main.AdminTreatmentReplyReadHandler (5 handlers)
[GIN-debug] GET    /api/admin/analytics      --> main.AdminAnalyticsHandler (5 handlers)
[GIN-debug] GET    /api/admin/config         --> main.AdminConfigGetHandler (5 handlers)
[GIN-debug] PUT    /api/admin/config         --> main.AdminConfigPutHandler (5 handlers)
[GIN-debug] GET    /api/admin/quantum        --> main.AdminQuantumHandler (5 handlers)
[GIN-debug] GET    /api/admin/model-evaluation --> main.AdminModelEvaluationV2Handler (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/05/15 - 12:03:03 | 200 | 122.47ms |             ::1 | POST     "/api/login"
[GIN] 2026/05/15 - 12:03:03 | 200 |  23.16ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:03:13 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/quantum"
[GIN] 2026/05/15 - 12:03:13 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/quantum"
[GIN] 2026/05/15 - 12:03:13 | 200 |   1.06ms |             ::1 | GET      "/api/admin/quantum"
[GIN] 2026/05/15 - 12:03:13 | 200 |   2.51ms |             ::1 | GET      "/api/admin/quantum"
[GIN] 2026/05/15 - 12:03:16 | 200 |       0s |             ::1 | GET      "/api/health"
[GIN] 2026/05/15 - 12:03:20 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/model-evaluation"
[GIN] 2026/05/15 - 12:03:20 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/model-evaluation"
[GIN] 2026/05/15 - 12:03:20 | 200 |  33.77ms |             ::1 | GET      "/api/admin/model-evaluation"
[GIN] 2026/05/15 - 12:03:20 | 200 |  40.71ms |             ::1 | GET      "/api/admin/model-evaluation"
[GIN] 2026/05/15 - 12:03:21 | 200 |  82.66ms |             ::1 | POST     "/api/login"
[GIN] 2026/05/15 - 12:03:21 | 200 |  10.82ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:03:32 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:03:32 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:03:32 | 204 |  995.9µs |             ::1 | OPTIONS  "/api/admin/users"
[GIN] 2026/05/15 - 12:03:32 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:03:32 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/users"
[GIN] 2026/05/15 - 12:03:32 | 200 |   8.25ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:03:32 | 200 |    9.3ms |             ::1 | GET      "/api/admin/users"
[GIN] 2026/05/15 - 12:03:32 | 200 |   4.63ms |             ::1 | GET      "/api/admin/users"
[GIN] 2026/05/15 - 12:03:32 | 200 |   12.1ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:03:32 | 200 |  35.96ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:03:32 | 200 |  11.23ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:03:45 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/users"
[GIN] 2026/05/15 - 12:03:45 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/users"
[GIN] 2026/05/15 - 12:03:45 | 200 |   4.16ms |             ::1 | GET      "/api/admin/users"
[GIN] 2026/05/15 - 12:03:45 | 200 |   4.03ms |             ::1 | GET      "/api/admin/users"
[GIN] 2026/05/15 - 12:03:59 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/config"
[GIN] 2026/05/15 - 12:03:59 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/config"
[GIN] 2026/05/15 - 12:03:59 | 200 |  803.8µs |             ::1 | GET      "/api/admin/config"
[GIN] 2026/05/15 - 12:03:59 | 200 |  907.5µs |             ::1 | GET      "/api/admin/config"
[GIN] 2026/05/15 - 12:04:11 | 200 |  63.41ms |             ::1 | POST     "/api/login"
[GIN] 2026/05/15 - 12:04:13 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:04:13 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:13 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:04:13 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:13 | 200 |  14.81ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:13 | 200 |   4.98ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:13 | 200 | 375.31ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:13 | 200 |  33.29ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:15 | 200 |   4.98ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:15 | 200 |   3.81ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:15 | 200 |  93.25ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:15 | 200 |  90.35ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:04:17 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/users"
[GIN] 2026/05/15 - 12:04:17 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/users"
[GIN] 2026/05/15 - 12:04:17 | 200 |  82.91ms |             ::1 | GET      "/api/admin/users"
[GIN] 2026/05/15 - 12:04:17 | 200 |   9.79ms |             ::1 | GET      "/api/admin/users"
[GIN] 2026/05/15 - 12:04:20 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:04:20 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/treatment-replies"
[GIN] 2026/05/15 - 12:04:20 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:04:20 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/treatment-replies"
[GIN] 2026/05/15 - 12:04:20 | 200 |      2ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:20 | 200 |   2.89ms |             ::1 | GET      "/api/admin/treatment-replies"
[GIN] 2026/05/15 - 12:04:20 | 200 |   7.53ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:20 | 200 |    2.9ms |             ::1 | GET      "/api/admin/treatment-replies"
[GIN] 2026/05/15 - 12:04:22 | 200 |   1.21ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:22 | 200 |   2.99ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:04:23 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
